IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
193.22.152.127,16123,443,true,LAX,North America,Los Angeles,191,4.23
185.183.84.237,14395,443,true,LAX,North America,Los Angeles,179,4.16
2.59.151.192,10815,443,true,LAX,North America,Los Angeles,176,4.16
154.194.64.244,55555,443,true,HKG,Asia Pacific,Hong Kong,39,4.12
185.186.147.133,14044,443,true,LAX,North America,Los Angeles,185,4.12
45.12.90.25,32163,443,true,LAX,North America,Los Angeles,173,4.12
103.99.179.8,43327,443,true,LAX,North America,Los Angeles,188,4.09
172.247.205.181,9999,443,true,LAX,North America,Los Angeles,185,4.08
103.99.115.232,1443,443,true,LAX,North America,Los Angeles,192,4.07
45.12.88.200,48575,443,true,LAX,North America,Los Angeles,194,4.06
163.53.246.105,25122,443,true,HKG,Asia Pacific,Hong Kong,38,4.06
163.53.246.105,30387,443,true,HKG,Asia Pacific,Hong Kong,35,4.05
185.201.226.246,19582,443,true,LAX,North America,Los Angeles,180,4.05
156.243.19.116,55555,443,true,HKG,Asia Pacific,Hong Kong,39,4.05
103.20.222.224,15028,443,true,LAX,North America,Los Angeles,33,4.00
149.104.32.203,9999,443,true,LAX,North America,Los Angeles,164,3.99
163.53.246.105,27054,443,true,HKG,Asia Pacific,Hong Kong,34,3.98
103.94.185.172,34567,443,true,LAX,North America,Los Angeles,238,3.95
172.247.205.171,9999,443,true,LAX,North America,Los Angeles,162,3.95
212.103.62.244,19560,443,true,LAX,North America,Los Angeles,185,3.89
154.194.64.249,9999,443,true,HKG,Asia Pacific,Hong Kong,59,3.84
185.186.146.45,61927,443,true,LAX,North America,Los Angeles,180,3.82
45.12.88.148,19479,443,true,LAX,North America,Los Angeles,194,3.81
156.243.19.99,9999,443,true,HKG,Asia Pacific,Hong Kong,43,3.80
2.59.151.168,34237,2096,true,LAX,North America,Los Angeles,175,3.79
156.243.19.124,55555,443,true,HKG,Asia Pacific,Hong Kong,33,3.79
163.53.246.105,27061,443,true,HKG,Asia Pacific,Hong Kong,34,3.76
154.194.65.13,9999,443,true,HKG,Asia Pacific,Hong Kong,34,3.68
172.247.205.174,55555,443,true,LAX,North America,Los Angeles,187,3.67
156.243.19.106,55555,443,true,HKG,Asia Pacific,Hong Kong,40,3.64
149.104.32.202,9999,443,true,LAX,North America,Los Angeles,180,3.64
163.53.246.105,20174,443,true,HKG,Asia Pacific,Hong Kong,31,3.61
154.194.64.252,55555,443,true,HKG,Asia Pacific,Hong Kong,34,3.50
2.59.151.192,25462,443,true,LAX,North America,Los Angeles,186,3.50
154.194.64.248,55555,443,true,HKG,Asia Pacific,Hong Kong,35,3.45
156.243.19.118,9999,443,true,HKG,Asia Pacific,Hong Kong,38,3.43
154.194.64.254,55555,443,true,HKG,Asia Pacific,Hong Kong,53,3.39
103.20.222.234,35218,443,true,LAX,North America,Los Angeles,167,3.38
154.194.65.4,55555,443,true,HKG,Asia Pacific,Hong Kong,43,3.36
149.104.32.204,9999,443,true,LAX,North America,Los Angeles,197,3.35
154.194.64.243,55555,443,true,HKG,Asia Pacific,Hong Kong,42,3.32
156.243.19.122,9999,443,true,HKG,Asia Pacific,Hong Kong,34,3.32
103.235.18.119,10020,443,true,HKG,Asia Pacific,Hong Kong,46,3.26
163.53.246.105,27050,443,true,HKG,Asia Pacific,Hong Kong,38,3.26
154.194.64.244,9999,443,true,HKG,Asia Pacific,Hong Kong,40,3.21
154.194.64.252,9999,443,true,HKG,Asia Pacific,Hong Kong,35,3.18
123.136.93.95,33999,443,true,HKG,Asia Pacific,Hong Kong,41,3.16
163.53.246.105,25930,443,true,HKG,Asia Pacific,Hong Kong,37,3.15
156.243.19.121,55555,443,true,HKG,Asia Pacific,Hong Kong,37,3.14
103.94.185.180,10910,443,true,LAX,North America,Los Angeles,227,3.08
156.243.19.125,55555,443,true,HKG,Asia Pacific,Hong Kong,34,3.04
156.243.19.105,55555,443,true,HKG,Asia Pacific,Hong Kong,33,2.97
154.194.65.10,9999,443,true,HKG,Asia Pacific,Hong Kong,32,2.97
154.194.64.245,9999,443,true,HKG,Asia Pacific,Hong Kong,43,2.92
202.91.35.102,27911,443,true,LAX,North America,Los Angeles,191,2.89
