IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms)
154.21.94.58,14280,443,true,LAX,North America,Los Angeles,184
154.21.88.85,19324,443,true,LAX,North America,Los Angeles,184
154.17.19.12,34237,2096,true,LAX,North America,Los Angeles,185
154.17.5.183,54403,443,true,LAX,North America,Los Angeles,185
154.17.231.209,41113,443,true,LAX,North America,Los Angeles,185
154.21.89.12,12446,443,true,LAX,North America,Los Angeles,185
154.17.229.59,8443,443,true,LAX,North America,Los Angeles,185
154.17.228.15,18478,443,true,LAX,North America,Los Angeles,185
154.21.80.55,13171,443,true,LAX,North America,Los Angeles,185
154.21.85.62,22353,443,true,LAX,North America,Los Angeles,185
154.21.92.2,36433,443,true,LAX,North America,Los Angeles,186
154.17.12.169,443,443,true,LAX,North America,Los Angeles,186
154.17.27.25,8081,8080,false,LAX,North America,Los Angeles,187
154.17.227.4,22808,443,true,LAX,North America,Los Angeles,187
154.21.89.153,54336,443,true,LAX,North America,Los Angeles,188
154.17.228.196,13713,443,true,LAX,North America,Los Angeles,188
154.17.4.180,17288,443,true,LAX,North America,Los Angeles,188
65.75.193.13,38986,443,true,SJC,North America,San Jose,188
154.17.229.161,13902,443,true,LAX,North America,Los Angeles,188
65.75.194.96,23190,443,true,SJC,North America,San Jose,188
154.17.231.142,28640,443,true,LAX,North America,Los Angeles,188
154.17.226.204,31380,443,true,LAX,North America,Los Angeles,188
154.17.28.20,8086,8080,false,LAX,North America,Los Angeles,189
136.175.176.92,15540,443,true,SJC,North America,San Jose,190
154.17.230.128,51888,443,true,LAX,North America,Los Angeles,190
154.17.29.80,50235,443,true,LAX,North America,Los Angeles,190
65.75.192.77,10180,443,true,SJC,North America,San Jose,190
154.17.229.161,46749,443,true,LAX,North America,Los Angeles,190
154.17.224.138,443,443,true,LAX,North America,Los Angeles,192
154.17.231.71,57503,443,true,LAX,North America,Los Angeles,192
154.21.88.85,11843,443,true,LAX,North America,Los Angeles,193
154.21.94.95,18204,443,true,LAX,North America,Los Angeles,194
154.17.230.212,54718,443,true,LAX,North America,Los Angeles,195
174.136.206.70,39880,443,true,SJC,North America,San Jose,196
154.21.88.85,14257,443,true,LAX,North America,Los Angeles,196
154.17.227.47,443,443,true,LAX,North America,Los Angeles,196
154.17.229.161,26616,443,true,LAX,North America,Los Angeles,196
65.75.193.154,14491,443,true,SJC,North America,San Jose,197
154.17.224.140,26138,443,true,LAX,North America,Los Angeles,197
154.17.229.171,12601,443,true,LAX,North America,Los Angeles,197
154.17.231.71,28238,443,true,LAX,North America,Los Angeles,198
65.75.195.188,19316,443,true,SJC,North America,San Jose,198
154.17.229.17,36342,443,true,LAX,North America,Los Angeles,199
154.17.228.123,19063,443,true,LAX,North America,Los Angeles,200
154.17.224.30,11946,443,true,LAX,North America,Los Angeles,201
154.17.231.208,64155,443,true,LAX,North America,Los Angeles,202
154.17.17.66,58835,443,true,HKG,Asia Pacific,Hong Kong,202
154.17.28.20,7000,8080,false,LAX,North America,Los Angeles,202
154.17.229.196,34746,443,true,LAX,North America,Los Angeles,202
136.175.177.78,53872,443,true,SJC,North America,San Jose,203
136.175.177.63,57329,80,false,SJC,North America,San Jose,203
154.17.230.16,443,443,true,LAX,North America,Los Angeles,203
154.21.91.92,10000,443,true,LAX,North America,Los Angeles,204
154.17.8.11,8081,8080,false,LAX,North America,Los Angeles,206
65.75.194.18,13888,443,true,SJC,North America,San Jose,207
136.175.178.86,42839,443,true,SJC,North America,San Jose,208
154.17.4.180,45956,443,true,LAX,North America,Los Angeles,208
154.17.229.167,443,443,true,LAX,North America,Los Angeles,208
154.17.12.14,38609,443,true,LAX,North America,Los Angeles,208
154.17.12.26,24003,80,false,SYD,Oceania,Sydney,209
65.75.195.188,20596,443,true,SJC,North America,San Jose,210
154.17.229.161,28557,443,true,LAX,North America,Los Angeles,210
45.59.187.24,13284,443,true,SJC,North America,San Jose,211
65.75.195.188,36298,443,true,SJC,North America,San Jose,214
154.17.17.66,40274,443,true,LAX,North America,Los Angeles,215
154.21.92.8,32011,443,true,LAX,North America,Los Angeles,215
154.21.90.142,8443,443,true,LAX,North America,Los Angeles,216
65.75.194.43,10511,443,true,SJC,North America,San Jose,216
154.17.25.7,50376,443,true,LAX,North America,Los Angeles,217
154.17.29.69,6667,443,true,LAX,North America,Los Angeles,217
65.75.195.57,56947,443,true,SJC,North America,San Jose,218
154.17.227.95,43791,443,true,LAX,North America,Los Angeles,220
154.17.8.198,22782,443,true,LAX,North America,Los Angeles,220
154.21.88.85,19865,443,true,LAX,North America,Los Angeles,221
65.75.194.18,19888,443,true,SJC,North America,San Jose,222
45.59.184.16,38908,443,true,SJC,North America,San Jose,224
154.17.21.134,18446,443,true,LAX,North America,Los Angeles,224
174.136.206.70,17885,443,true,SJC,North America,San Jose,224
154.21.95.34,24080,443,true,LHR,Europe,London,224
65.75.192.67,42930,443,true,SJC,North America,San Jose,226
154.21.85.93,55479,443,true,LAX,North America,Los Angeles,228
65.75.194.7,12266,443,true,SJC,North America,San Jose,231
65.75.192.35,22857,443,true,SJC,North America,San Jose,231
136.175.179.68,443,443,true,SJC,North America,San Jose,232
154.21.85.93,53601,443,true,LAX,North America,Los Angeles,233
65.75.193.21,39458,443,true,SJC,North America,San Jose,235
65.75.193.21,37813,443,true,SJC,North America,San Jose,237
154.17.24.56,46135,443,true,LAX,North America,Los Angeles,242
154.21.91.6,15390,443,true,LAX,North America,Los Angeles,242
136.175.179.156,10464,443,true,SJC,North America,San Jose,242
154.17.5.18,38680,443,true,LAX,North America,Los Angeles,246
